code,2006-01,2006-04,2006-07,2006-10,2007-01,2007-04,2007-07,2007-10,2008-01,2008-04,2008-07,2008-10,2009-01,2009-04,2009-07,2009-10,2010-01,2010-04,2010-07,2010-10,2011-01,2011-04,2011-07,2011-10,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2006_total,2007_total,2008_total,2009_total,2010_total,2011_total,2012_total,2013_total,2014_total,2015_total,2016_total
000738,1.02657346792,1.3520232333839999,1.0547644738800002,0.7740808115040001,2.516704395786,0.7893129224959998,1.243309610088,1.0597484897999998,0.7602404472000002,0.7504771893600001,0.8740842495279998,1.0230584,1.8417146227199999,1.2742093732499997,0.9304473979200001,1.3453142086860002,1.0043404602,0.8841796588799999,1.36321241056,1.0162566141840002,1.03466732096,0.968381735085,0.7523114461770001,0.969548253597,0.9381248611179998,1.014152506,0.82800436288,1.037411540942,1.6413260116200001,0.7006662720749999,1.0819457485200001,1.127186821068,0.9385606937239999,1.092782909835,1.389078371475,0.9627497917200001,1.42522937856,1.4074273608080001,0.6812434271999999,1.3996452318,0.9249421567320001,-inf,-inf,-inf,1.1332245798666158,2.6173603411498556,0.5102020371528884,2.9375054871533655,1.230235895466487,0.7308267243525101,0.8172362337920728,1.4025147964195142,1.3716283069263029,1.9126303794730306,0.9249421567320001
000739,0.84006284,1.1233152699999998,1.241117961384,1.740338495415,1.4828742382919997,1.4291877882750001,0.59958397212,0.9322065417000001,0.75375042624,0.6212802309559999,0.8087112600000002,1.024566356704,1.488028723566,1.5268096629,0.83281384503,1.27075501008,0.9570327759,0.720971192568,1.1999532280120002,1.073606370018,1.023598183552,1.1923668512699999,0.69030993318,1.2057019,0.82946639,1.1241183977099998,1.0606206904480002,0.9698914543410001,1.53813876012,0.4166067340500001,1.3531027456640001,0.8629324603359999,1.237690451426,0.7942806315839999,1.24492437108,0.9710142085800001,1.23382406112,1.0464384154639998,0.6629935243609999,1.244394572648,0.8060467287180001,-inf,-inf,-inf,2.0382630154235635,1.184556494591352,0.3880151531314192,2.404395915048188,0.888902487860364,1.0158356928364274,0.9591666645117355,0.7482201210508596,1.1883778999410832,1.0652077184084305,0.8060467287180001
000748,1.01855410254,1.463595744156,1.2842508491999998,1.2834667692,2.296391836512,1.119834810558,1.5153596528670001,0.900604946826,0.8806143558159999,0.39893918864799993,0.7582830970879999,0.7766051947420001,1.4498372234999999,1.1523362020499999,0.9128133793599998,1.405685623695,1.099135907127,0.610155817152,1.2492667086,0.9326978732699998,1.16548929618,0.870804115132,0.893333359094,0.707744663136,1.0116284489999998,1.034505569872,0.992480982012,0.9737743633159999,1.264354993332,1.3879169129839999,1.2314219006109999,1.61069523648,1.080355448976,1.1547635288,1.2968457724799995,1.3230318912,1.284375255552,0.6981462743200001,-inf,-inf,0.6752,-inf,-inf,-inf,2.457195608962792,3.5095384578975812,0.20688267718612663,2.14372292332619,0.7814268060995603,0.6416806112730985,1.0114266613785619,3.480589002078927,2.1405154613324413,0.8966817994924269,0.6752
000750,0.9290676634739998,1.1968119775319999,1.1777766958079998,0.9800816400000001,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.2762,-inf,-inf,0.0,-inf,-inf,-inf,-inf,-inf,-inf,3.3400195,0.672413708835,1.5113028761459997,0.7346683799999999,0.767429610464,1.2621139480080001,0.96501132702,0.891981855492,1.195749115776,0.92715041664,0.85324267556,0.9682520611540001,1.063513246464,1.7303981397300001,1.04881532888,0.9210826421999999,0.5386702556999999,1.419891456,0.9089836306960002,-inf,-inf,-inf,1.2835077102726171,-inf,-inf,0.0,-inf,2.245874899576222,1.0754246217893706,0.9542863182796313,1.520372277799943,0.738883154639079,0.9089836306960002
000751,1.2162616499999999,1.3138156500000002,1.0465987396479999,1.1233758006,2.0360478535600004,1.741068663096,1.27552024,0.6904673399999999,0.580097436996,0.5709936741599999,0.6556744575800001,0.7241976690480001,2.3185025792639995,0.897382529536,0.9365599956020001,1.2856314214980002,0.9327323393999999,0.995211033138,1.588838178354,0.9117109602479999,1.2021442313319999,0.7061903600999999,0.6684089174279999,0.773892822528,1.212832855704,0.6714055676799999,0.744686277405,1.065364845696,1.4866486891200001,-inf,-inf,-inf,-inf,-inf,1.8143254199999999,0.852287147712,1.231646075744,1.3883370117760003,0.462954067632,1.351661313204,0.9112538843519999,-inf,-inf,-inf,1.8787401456379258,3.1220106128650635,0.15728149616788553,2.5051704210402184,1.3446493911329902,0.43913840057530756,0.6460373171787753,1.4866486891200001,1.5463262372331763,1.0700069958191512,0.9112538843519999
000752,1.0597717831679998,1.8288615421439998,0.7774221687359998,0.7561910822399999,1.5844655888160004,0.9546912942929998,1.1617002649,0.9259455016560001,0.9594068797169999,0.6679659254399999,0.690869920235,0.9029689486299999,1.7403838928120001,1.5043186483360003,0.8734331249999998,1.1762768757599997,1.3917506528249999,0.7527928941359999,1.2415669178399997,0.97863765505,2.47429996,1.173724546302,0.6133202366939999,0.634315908252,1.4629149825849999,0.9182063852900001,0.8052764485999999,0.938654808,0.81839508352,0.9823968336000002,1.1153236192000002,0.90251908593,0.947363348936,0.9821157345999998,1.29770648208,1.0792694528,1.2708845908200002,1.102520170752,0.6087018393799999,1.583630254314,0.7391957114880001,-inf,-inf,-inf,1.1394142633426378,1.6271413753343758,0.3997847625918815,2.6898255372160795,1.2730017446553568,1.1298256580911248,1.0153372116212884,0.8092957504160446,1.3031235909403276,1.3506756233715973,0.7391957114880001
000753,1.0473544714500003,1.7407495919199998,0.690266141936,1.003422803328,1.7508126915000004,0.9843229214,1.4812513947060002,0.8810680740899999,0.8877621772800002,0.59998968722,0.8803186279679999,0.9578675200000001,1.7568530235620001,1.134603950524,0.8660621139199999,1.279787559687,1.41443994,0.8377859407499999,1.050340711584,0.89063212602,1.122783154792,0.8635660735519999,0.7738680768480001,1.0808670599999999,0.86398098296,1.086562605744,0.9511110385919999,1.028551531722,1.011158474626,0.6410651302439998,1.188505696044,0.9710843199999999,1.051973410096,0.969348570949,1.69431640686,0.88538239854,1.4724930700740002,0.8934513183280001,0.6334247861069999,1.2466638185399999,0.739847967012,-inf,-inf,-inf,1.2627882465832097,2.2491349873419852,0.44914416589677164,2.2093608129764135,1.1085266410483932,0.8110183373086861,0.9183668851727271,0.7481343404791471,1.5297136333378818,1.0388875991961994,0.739847967012
000755,1.127759598,1.12017212352,1.0725672370889996,1.0393887,2.1273873933179996,1.6483444508160001,1.45485293448,1.008688675252,0.6087383309700001,0.4528483596,0.62467483608,0.7217027546350001,1.7944675400519998,0.91858057452,0.9677797735199999,1.3014525032340003,0.9694174266150001,0.673711610352,1.2343093737000002,1.6278697256,0.97667943032,0.8797549611600001,0.7782755344000001,0.815102242372,1.064335893231,0.9637574885549999,0.7872564162459998,0.9169937536280001,1.009716837536,0.6621752352599999,1.18450361808,0.8685814001459999,0.95518976,0.973599994528,1.6868208228300001,0.95530929,-inf,1.9887718751999997,0.7246342752000001,1.30732876452,0.6983690541799998,-inf,-inf,-inf,1.4083279883662811,5.146011957563452,0.12427844841723093,2.0761452213926033,1.3122860974755826,0.5450787258377554,0.7405068157884355,0.6878907184332671,1.4985911909305192,1.8840336652428664,0.6983690541799998
000756,1.07356161,0.9781775800000001,0.9713961068499999,1.03605152,2.0030437202,0.8847998084520001,1.462355405,1.0683084725279999,0.7806426107600001,0.6734673154720001,0.8565065901,0.9619073412,1.379917014528,1.198864083648,0.9760630581240001,1.3758410592499999,1.086715451738,0.7223848353,1.2285069551999996,0.944594932554,1.00387501272,0.99086381496,0.8663179118300001,0.7942162273110001,1.0019571842280002,0.9980694709260001,0.88382196172,0.9526412076479999,1.2036055311,0.7349734451000002,1.207141576914,1.0275024685199998,1.162971267216,0.9769480925399999,1.3393956376079998,1.079868157488,1.4102807923360001,1.07572455457,1.005,1.10367146358,0.83296915548,-inf,-inf,-inf,1.0568719904685597,2.76875836701133,0.43314442086180777,2.221616340216005,0.9109775903794791,0.6843994681889471,0.8419844823891132,1.097228059289606,1.6433122381758136,1.6827226802516637,0.83296915548
000757,0.9352385679000002,1.069323338538,1.138885693176,0.983789475,1.219038683032,1.2949,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.5369864999999998,0.7837171372799999,1.16355717005,0.90325444104,0.9131235305870001,1.2235315949219998,1.2676953967500002,1.0199577339,1.433621815,1.258412785812,0.6628534151579999,1.4924316585600002,0.8275685518099999,-inf,-inf,-inf,1.1205049079535674,1.5785331906581366,-inf,-inf,-inf,-inf,-inf,1.2659811190457126,1.444580711096305,1.7847182898263663,0.8275685518099999
